detection_id,sequence_id,class,order,family,genus,species,common_name,age,sex,group_number
cd00798,d59366s14,Mammalia,Cetartiodactyla,Cervidae,Alces,alces,Moose,Adult,Female,1
cd00799,d59366s15,Mammalia,Cetartiodactyla,Cervidae,Alces,alces,Moose,Unknown,Unknown,1
cd00800,d59366s16, , , , , ,Animal,Unknown,Unknown,1
cd00801,d59366s17,Mammalia,Cetartiodactyla,Cervidae,Alces,alces,Moose,Adult,Female,1
cd00802,d59366s17,Mammalia,Cetartiodactyla,Cervidae,Alces,alces,Moose,Juvenile,Unknown,1
cd00803,d59366s18,Mammalia,Cetartiodactyla,Cervidae,Alces,alces,Moose,Unknown,Unknown,1
cd00804,d59366s21,Mammalia,Carnivora,Canidae,Canis,familiaris,Domestic Dog,Unknown,Unknown,1
cd00805,d59366s21,Mammalia,Primates,Hominidae,Homo,sapiens,Human,Unknown,Unknown,2
cd00806,d59366s22,Mammalia,Carnivora,Canidae,Canis,familiaris,Domestic Dog,Unknown,Unknown,1
cd00807,d59366s22,Mammalia,Primates,Hominidae,Homo,sapiens,Human,Unknown,Unknown,1
cd00808,d59366s23,Mammalia,Primates,Hominidae,Homo,sapiens,Human,Unknown,Unknown,1
cd00809,d59366s25,Mammalia,Primates,Hominidae,Homo,sapiens,Human-Camera Trapper,Unknown,Unknown,1
cd00810,d59366s26,Mammalia,Primates,Hominidae,Homo,sapiens,Human-Camera Trapper,Unknown,Unknown,1
cd00811,d59366s27,Mammalia,Primates,Hominidae,Homo,sapiens,Human-Camera Trapper,Unknown,Unknown,1
cd00812,d59366s28,Mammalia,Primates,Hominidae,Homo,sapiens,Human-Camera Trapper,Unknown,Unknown,1
cd00813,d59366s29,Mammalia,Cetartiodactyla,Cervidae,Cervus,canadensis,Elk,Unknown,Unknown,1
cd00814,d59366s34,Mammalia,Primates,Hominidae,Homo,sapiens,Human,Unknown,Unknown,2
cd00815,d59366s35,Mammalia,Cetartiodactyla,Cervidae,Cervus,canadensis,Elk,Adult,Male,1
cd00816,d59366s35,Mammalia,Cetartiodactyla,Cervidae,Cervus,canadensis,Elk,Adult,Female,1
cd00817,d59366s36,Mammalia,Primates,Hominidae,Homo,sapiens,Human,Unknown,Unknown,3
cd00818,d59366s37,Mammalia,Primates,Hominidae,Homo,sapiens,Human,Unknown,Unknown,2
cd00819,d59366s38,Mammalia,Primates,Hominidae,Homo,sapiens,Human,Unknown,Unknown,2
cd00820,d59366s40,Mammalia,Carnivora,Canidae,Canis,familiaris,Domestic Dog,Unknown,Unknown,1
cd00821,d59366s40,Mammalia,Primates,Hominidae,Homo,sapiens,Human,Unknown,Unknown,1
cd00822,d59366s41,Mammalia,Carnivora,Canidae,Canis,familiaris,Domestic Dog,Unknown,Unknown,1
cd00823,d59366s41,Mammalia,Primates,Hominidae,Homo,sapiens,Human,Unknown,Unknown,1
cd00824,d59366s42,Mammalia,Primates,Hominidae,Homo,sapiens,Human,Unknown,Unknown,3
cd00825,d59366s43,Mammalia,Primates,Hominidae,Homo,sapiens,Human,Unknown,Unknown,3
cd00826,d59366s44,Mammalia,Primates,Hominidae,Homo,sapiens,Human-Camera Trapper,Unknown,Unknown,1
cd00827,d59367s3,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Adult,Female,1
cd00828,d59367s4,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Adult,Female,1
cd00829,d59367s4,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Juvenile,Unknown,2
cd00830,d59367s9,Aves, , , , ,Bird,Unknown,Unknown,1
cd00831,d59367s13,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Adult,Female,1
cd00832,d59367s13,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Juvenile,Unknown,1
cd00833,d59367s17,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Juvenile,Unknown,1
cd00834,d59367s21,Mammalia,Primates,Hominidae,Homo,sapiens,Human,Unknown,Unknown,1
cd00835,d59367s22,Mammalia,Primates,Hominidae,Homo,sapiens,Human,Unknown,Unknown,1
cd00836,d59367s32,Aves, , , , ,Bird,Unknown,Unknown,1
cd00837,d59367s38,Aves, , , , ,Bird,Unknown,Unknown,1
cd00838,d59367s40,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Adult,Female,1
cd00839,d59367s40,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Juvenile,Unknown,1
cd00840,d59367s41,Aves, , , , ,Bird,Unknown,Unknown,1
cd00841,d59367s44,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Unknown,Unknown,1
cd00842,d59367s45,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Unknown,Unknown,1
cd00843,d59367s46,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Adult,Female,1
cd00844,d59367s46,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Unknown,Unknown,1
cd00845,d59367s50,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Unknown,Unknown,1
cd00846,d59367s54,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Adult,Female,1
cd00847,d59367s59,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Adult,Female,1
cd00848,d59367s60,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Juvenile,Unknown,1
cd00849,d59367s61,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Adult,Female,1
cd00850,d59367s61,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Juvenile,Unknown,1
cd00851,d59367s65,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Adult,Female,1
cd00852,d59367s65,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Juvenile,Unknown,1
cd00853,d59367s70,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Adult,Female,1
cd00854,d59367s70,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Juvenile,Unknown,1
cd00855,d59367s71,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Adult,Female,1
cd00856,d59367s79,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Adult,Female,1
cd00857,d59367s83,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Adult,Female,1
cd00858,d59367s83,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Juvenile,Unknown,1
cd00859,d59367s84,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Unknown,Unknown,1
cd00860,d59368s1,Aves, , , , ,Bird,Unknown,Unknown,1
cd00861,d59368s2,Mammalia,Carnivora,Ursidae,Ursus,americanus,American Black Bear,Unknown,Unknown,1
cd00862,d59368s3,Mammalia,Primates,Hominidae,Homo,sapiens,Human,Unknown,Unknown,1
cd00863,d59368s4,Mammalia,Primates,Hominidae,Homo,sapiens,Human,Unknown,Unknown,1
cd00864,d59368s5,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Adult,Female,1
cd00865,d59368s6,Mammalia,Cetartiodactyla,Cervidae,Cervus,canadensis,Elk,Unknown,Unknown,1
cd00866,d59368s7,Mammalia,Carnivora,Ursidae,Ursus,americanus,American Black Bear,Unknown,Unknown,1
cd00867,d59368s10, , , , , ,Animal,Unknown,Unknown,1
cd00868,d59368s11,Mammalia,Lagomorpha,Leporidae,Lepus,americanus,Snowshoe Hare,Unknown,Unknown,1
cd00869,d59368s12,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Adult,Female,1
cd00870,d59368s13,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Adult,Female,1
cd00871,d59368s14,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Adult,Female,1
cd00872,d59368s15,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Adult,Female,1
cd00873,d59368s16,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Adult,Female,1
cd00874,d59368s17,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Adult,Female,1
cd00875,d59368s18,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Adult,Female,1
cd00876,d59368s19,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Adult,Female,1
cd00877,d59368s20,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Adult,Female,1
cd00878,d59368s21,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Adult,Female,1
cd00879,d59368s22,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Adult,Female,1
cd00880,d59368s23,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Adult,Female,1
cd00881,d59368s24,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Adult,Female,1
cd00882,d59368s26, , , , , ,Animal,Unknown,Unknown,1
cd00883,d59368s27,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Adult,Male,1
cd00884,d59368s28,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Adult,Male,1
cd00885,d59368s28,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Adult,Female,2
cd00886,d59368s28,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Unknown,Unknown,1
cd00887,d59368s29,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Adult,Female,4
cd00888,d59368s30,Mammalia,Primates,Hominidae,Homo,sapiens,Human,Unknown,Unknown,2
cd00889,d59368s31,Mammalia,Carnivora,Canidae,Vulpes,vulpes,Red Fox,Unknown,Unknown,1
cd00890,d59368s32,Mammalia,Lagomorpha,Leporidae,Lepus,americanus,Snowshoe Hare,Unknown,Unknown,1
cd00891,d59368s33,Mammalia,Lagomorpha,Leporidae,Lepus,americanus,Snowshoe Hare,Unknown,Unknown,1
cd00892,d59368s34,Mammalia,Carnivora,Canidae,Vulpes,vulpes,Red Fox,Unknown,Unknown,1
cd00893,d59368s35,Mammalia,Primates,Hominidae,Homo,sapiens,Human-Camera Trapper,Unknown,Unknown,1
cd00894,d59369s1,Mammalia,Carnivora,Canidae,Vulpes,vulpes,Red Fox,Unknown,Unknown,1
cd00895,d59369s2,Mammalia,Carnivora,Mustelidae,Martes,americana,American Marten,Unknown,Unknown,1
cd00896,d59369s9,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Adult,Female,2
cd00897,d59369s10,Mammalia,Carnivora,Mustelidae,Taxidea,taxus,American Badger,Unknown,Unknown,1
cd00898,d59369s12,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Adult,Female,1
cd00899,d59369s12,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Juvenile,Unknown,1
cd00900,d59369s13,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Adult,Female,1
cd00901,d59369s13,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Juvenile,Unknown,2
cd00902,d59369s13,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Unknown,Unknown,1
cd00903,d59369s14,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Adult,Female,1
cd00904,d59369s16,Mammalia,Primates,Hominidae,Homo,sapiens,Human,Unknown,Unknown,1
cd00905,d59369s17,Mammalia,Rodentia,Sciuridae,Tamiasciurus,hudsonicus,Red Squirrel,Unknown,Unknown,1
cd00906,d59369s18,Mammalia,Rodentia,Sciuridae,Tamiasciurus,hudsonicus,Red Squirrel,Unknown,Unknown,1
cd00907,d59369s19,Aves,Accipitriformes, , , ,Accipitriformes Order,Unknown,Unknown,1
cd00908,d59369s22,Mammalia,Carnivora,Mustelidae,Martes,americana,American Marten,Unknown,Unknown,1
cd00909,d59369s23,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Unknown,Unknown,1
cd00910,d59369s24,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Unknown,Unknown,1
cd00911,d59369s25,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Unknown,Unknown,3
cd00912,d59369s26,Mammalia,Rodentia,Sciuridae,Tamiasciurus,hudsonicus,Red Squirrel,Unknown,Unknown,1
cd00913,d59369s28,Mammalia,Primates,Hominidae,Homo,sapiens,Human-Camera Trapper,Unknown,Unknown,1
cd00914,d59369s29,Mammalia,Primates,Hominidae,Homo,sapiens,Human-Camera Trapper,Unknown,Unknown,1
cd00915,d59369s30,Mammalia,Primates,Hominidae,Homo,sapiens,Human-Camera Trapper,Unknown,Unknown,1
cd00916,d59369s31,Mammalia,Primates,Hominidae,Homo,sapiens,Human-Camera Trapper,Unknown,Unknown,1
cd00917,d59369s32,Mammalia,Carnivora,Procyonidae,Procyon,lotor,Northern Raccoon,Unknown,Unknown,1
cd00918,d59369s33,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Unknown,Unknown,1
cd00919,d59369s39,Mammalia,Carnivora,Felidae,Puma,concolor,Puma,Unknown,Unknown,1
cd00920,d59369s42,Aves,Accipitriformes, , , ,Accipitriformes Order,Unknown,Unknown,1
cd00921,d59369s43,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Adult,Female,1
cd00922,d59369s45,Mammalia,Carnivora,Mustelidae,Martes,americana,American Marten,Unknown,Unknown,1
cd00923,d59369s47,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Adult,Female,4
cd00924,d59369s47,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Juvenile,Unknown,1
cd00925,d59369s48,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Adult,Female,2
cd00926,d59369s48,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Juvenile,Unknown,1
cd00927,d59369s49,Mammalia,Carnivora,Canidae,Vulpes,vulpes,Red Fox,Unknown,Unknown,1
cd00928,d59369s50,Aves,Accipitriformes, , , ,Accipitriformes Order,Unknown,Unknown,1
cd00929,d59369s51,Aves,Accipitriformes, , , ,Accipitriformes Order,Unknown,Unknown,1
cd00930,d59369s52,Mammalia,Primates,Hominidae,Homo,sapiens,Human-Camera Trapper,Unknown,Unknown,1
cd00931,d59370s1, , , , , ,Animal,Unknown,Unknown,1
cd00932,d59370s2,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Adult,Female,1
cd00933,d59370s6,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Adult,Female,1
cd00934,d59370s6,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Juvenile,Unknown,1
cd00935,d59370s7,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Unknown,Unknown,1
cd00936,d59370s8,Mammalia,Rodentia,Sciuridae,Tamiasciurus,hudsonicus,Red Squirrel,Unknown,Unknown,1
cd00937,d59370s11,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Juvenile,Unknown,1
cd00938,d59370s12,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Adult,Male,1
cd00939,d59370s13,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Adult,Male,1
cd00940,d59370s14,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Juvenile,Unknown,1
cd00941,d59370s15,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Unknown,Unknown,1
cd00942,d59370s18,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Unknown,Unknown,1
cd00943,d59370s19,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Juvenile,Unknown,2
cd00944,d59370s20,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Adult,Female,1
cd00945,d59370s21,Mammalia,Rodentia,Sciuridae,Tamiasciurus,hudsonicus,Red Squirrel,Unknown,Unknown,1
cd00946,d59370s22,Mammalia,Cetartiodactyla,Cervidae,Cervus,canadensis,Elk,Adult,Female,2
cd00947,d59370s23, , , , , ,Animal,Unknown,Unknown,1
cd00948,d59370s24,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Adult,Female,1
cd00949,d59370s25,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Juvenile,Unknown,1
cd00950,d59370s28, , , , , ,Animal,Unknown,Unknown,1
cd00951,d59370s35,Mammalia,Cetartiodactyla,Cervidae,Alces,alces,Moose,Adult,Female,1
cd00952,d59370s35,Mammalia,Cetartiodactyla,Cervidae,Alces,alces,Moose,Juvenile,Unknown,1
cd00953,d59370s37,Mammalia,Cetartiodactyla,Cervidae,Alces,alces,Moose,Adult,Female,1
cd00954,d59370s37,Mammalia,Cetartiodactyla,Cervidae,Alces,alces,Moose,Juvenile,Unknown,1
cd00955,d59370s40,Mammalia,Rodentia,Sciuridae,Tamiasciurus,hudsonicus,Red Squirrel,Unknown,Unknown,1
cd00956,d59370s42,Mammalia,Rodentia,Sciuridae, , ,Sciuridae Family,Unknown,Unknown,1
cd00957,d59370s44,Mammalia,Rodentia,Sciuridae,Tamiasciurus,hudsonicus,Red Squirrel,Unknown,Unknown,1
cd00958,d59370s47,Mammalia,Rodentia,Sciuridae,Tamiasciurus,hudsonicus,Red Squirrel,Unknown,Unknown,1
cd00959,d59370s53,Mammalia,Rodentia,Sciuridae,Tamiasciurus,hudsonicus,Red Squirrel,Unknown,Unknown,1
cd00960,d59370s57,Mammalia,Rodentia,Sciuridae,Tamiasciurus,hudsonicus,Red Squirrel,Unknown,Unknown,1
cd00961,d59370s58,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Unknown,Unknown,1
cd00962,d59370s59,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Adult,Female,1
cd00963,d59370s64,Mammalia, , , , ,Mammal,Unknown,Unknown,1
cd00964,d59370s75,Mammalia,Primates,Hominidae,Homo,sapiens,Human-Camera Trapper,Unknown,Unknown,1
cd00965,d59370s76,Mammalia,Primates,Hominidae,Homo,sapiens,Human-Camera Trapper,Unknown,Unknown,1
cd00966,d59370s77,Mammalia,Primates,Hominidae,Homo,sapiens,Human-Camera Trapper,Unknown,Unknown,1
cd00967,d59370s80, , , , , ,Animal,Unknown,Unknown,1
cd00968,d59370s81, , , , , ,Animal,Unknown,Unknown,1
cd00969,d59370s82, , , , , ,Animal,Unknown,Unknown,1
cd00970,d59370s83,Mammalia,Cetartiodactyla,Cervidae,Cervus,canadensis,Elk,Adult,Male,1
cd00971,d59370s84,Mammalia,Cetartiodactyla,Cervidae,Cervus,canadensis,Elk,Unknown,Unknown,1
cd00972,d59370s85,Mammalia,Cetartiodactyla,Cervidae,Cervus,canadensis,Elk,Unknown,Unknown,3
cd00973,d59370s86,Mammalia,Cetartiodactyla,Cervidae,Cervus,canadensis,Elk,Unknown,Unknown,1
cd00974,d59370s87,Mammalia,Cetartiodactyla,Cervidae,Cervus,canadensis,Elk,Unknown,Unknown,1
cd00975,d59370s88, , , , , ,Animal,Unknown,Unknown,1
cd00976,d59370s89,Mammalia,Cetartiodactyla,Cervidae,Cervus,canadensis,Elk,Adult,Male,1
cd00977,d59370s90,Mammalia,Cetartiodactyla,Cervidae,Cervus,canadensis,Elk,Unknown,Unknown,1
cd00978,d59370s91,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Unknown,Unknown,1
cd00979,d59370s95,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Unknown,Unknown,1
cd00980,d59370s96, , , , , ,Animal,Unknown,Unknown,1
cd00981,d59370s97, , , , , ,Animal,Unknown,Unknown,1
cd00982,d59370s98, , , , , ,Animal,Unknown,Unknown,1
cd00983,d59370s100, , , , , ,Animal,Unknown,Unknown,1
cd00984,d59370s101,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Adult,Female,1
cd00985,d59370s102,Mammalia,Cetartiodactyla,Cervidae,Alces,alces,Moose,Juvenile,Unknown,1
cd00986,d59370s103,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Adult,Female,1
cd00987,d59370s104,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Adult,Female,1
cd00988,d59370s105,Mammalia,Cetartiodactyla,Cervidae,Alces,alces,Moose,Adult,Male,1
cd00989,d59370s105,Mammalia,Cetartiodactyla,Cervidae,Alces,alces,Moose,Adult,Female,1
cd00990,d59370s105,Mammalia,Cetartiodactyla,Cervidae,Alces,alces,Moose,Juvenile,Unknown,1
cd00991,d59370s106, , , , , ,Animal,Unknown,Unknown,1
cd00992,d59370s107, , , , , ,Animal,Unknown,Unknown,1
cd00993,d59370s108,Mammalia,Carnivora,Felidae,Puma,concolor,Puma,Unknown,Unknown,1
cd00994,d59370s112,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Unknown,Unknown,2
cd00995,d59370s113,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Unknown,Unknown,1
cd00996,d59370s114,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Juvenile,Unknown,1
cd00997,d59370s115,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote,Unknown,Unknown,1
cd00998,d59370s119,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote,Unknown,Unknown,1
cd00999,d59370s120,Mammalia,Primates,Hominidae,Homo,sapiens,Human-Camera Trapper,Unknown,Unknown,1
cd01000,4417219,Mammalia,Primates,Hominidae,Homo,sapiens,Human, , ,1
cd01001,4417225,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,virginianus,White-tailed Deer, , ,1
cd01002,4417223,Mammalia,Lagomorpha,Leporidae, , ,Leporidae Family, , ,1
cd01003,4417224,Mammalia,Lagomorpha,Leporidae, , ,Leporidae Family, , ,1
cd01004,4417222,Mammalia,Lagomorpha,Leporidae, , ,Leporidae Family, , ,1
cd01005,4417226,Aves,Galliformes,Phasianidae,Meleagris,gallopavo,Wild Turkey, , ,7
cd01006,4417227,Mammalia,Lagomorpha,Leporidae, , ,Leporidae Family, , ,1
cd01007,4417228,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,virginianus,White-tailed Deer, , ,1
cd01008,4417229,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,virginianus,White-tailed Deer, , ,1
cd01009,4417230,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,virginianus,White-tailed Deer, , ,2
cd01010,4417234,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd01011,4417232,Mammalia,Lagomorpha,Leporidae, , ,Leporidae Family, , ,1
cd01012,4417242,Mammalia,Cetartiodactyla,Cervidae,Odocoileus, ,Odocoileus Species, , ,1
cd01013,4417243,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,virginianus,White-tailed Deer, , ,1
cd01014,4417233,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,virginianus,White-tailed Deer, , ,1
cd01015,4417238,Mammalia,Primates,Hominidae,Homo,sapiens,Human, , ,1
cd01016,4417372,Mammalia,Primates,Hominidae,Homo,sapiens,Human, , ,1
cd01017,4417373,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,virginianus,White-tailed Deer, , ,1
cd01018,4417374,Mammalia,Cetartiodactyla,Cervidae,Odocoileus, ,Odocoileus Species, , ,1
cd01019,4417377,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,virginianus,White-tailed Deer, , ,1
cd01020,4417375,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,virginianus,White-tailed Deer, , ,2
cd01021,4417379,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,virginianus,White-tailed Deer, , ,1
cd01022,4417378, , , , , ,Animal, , ,1
cd01023,4417380, , , , , ,Animal, , ,1
cd01024,4417381,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,virginianus,White-tailed Deer, , ,1
cd01025,4417384,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,virginianus,White-tailed Deer, , ,1
cd01026,4417431,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,virginianus,White-tailed Deer, , ,1
cd01027,4417387,Mammalia,Cetartiodactyla,Cervidae,Odocoileus, ,Odocoileus Species, , ,1
cd01028,4417388,Mammalia,Cetartiodactyla,Cervidae,Odocoileus, ,Odocoileus Species, , ,1
cd01029,4417389,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,virginianus,White-tailed Deer, , ,1
cd01030,4417392,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,virginianus,White-tailed Deer, , ,1
cd01031,4417394,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,virginianus,White-tailed Deer, , ,1
cd01032,4417393,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,virginianus,White-tailed Deer, , ,1
cd01033,4417396,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,virginianus,White-tailed Deer, , ,1
cd01034,4417400,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,virginianus,White-tailed Deer, , ,1
cd01035,4417401,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,virginianus,White-tailed Deer, , ,1
cd01036,4417403,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,virginianus,White-tailed Deer, , ,1
cd01037,4417402,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,virginianus,White-tailed Deer, , ,1
cd01038,4417404,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,virginianus,White-tailed Deer, , ,1
cd01039,4417406,Mammalia,Cetartiodactyla,Cervidae,Odocoileus, ,Odocoileus Species, , ,1
cd01040,4417410,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,virginianus,White-tailed Deer, , ,1
cd01041,4417407,Mammalia,Cetartiodactyla,Cervidae,Odocoileus, ,Odocoileus Species, , ,1
cd01042,4417408,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,virginianus,White-tailed Deer, , ,1
cd01043,4417413,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,virginianus,White-tailed Deer, , ,1
cd01044,4417415,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,virginianus,White-tailed Deer, , ,1
cd01045,4417414,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,virginianus,White-tailed Deer, , ,1
cd01046,4417418,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,virginianus,White-tailed Deer, , ,1
